Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<vec<3u, int> >::allocator()
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<vec<3u, int> >::~allocator()
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_impl::_Vector_impl(std::allocator<vec<3u, int> > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_M_create_storage(unsigned int)
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_base(unsigned int, std::allocator<vec<3u, int> > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<vec<3u, int>, std::allocator<vec<3u, int> > >::_Vector_base()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.00     0.00     2492     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator_traits<std::allocator<vec<3u, int> > >::select_on_container_copy_construction(std::allocator<vec<3u, int> > const&)
  0.00      0.00     0.00     2492     0.00     0.00  std::allocator<vec<3u, int> > const std::allocator_traits<std::allocator<vec<3u, int> > >::_S_select<std::allocator<vec<3u, int> > const, void>(std::allocator<vec<3u, int> > const&, ...)
  0.00      0.00     0.00     2492     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > >::__construct_helper<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>::type>::value, void>::type std::allocator_traits<std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > >::_S_construct<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>(std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >&, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&)
  0.00      0.00     0.00     2492     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>)({parm#3}))) std::allocator_traits<std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > > >::construct<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&>(std::allocator<std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > >&, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > >*, std::vector<vec<3u, int>, std::allocator<vec<3u, int> > > const&)
